ax,ay,az,gx,gy,gz,motion,gyro,label
-0.028,-0.455,-0.579,14.099,12.939,7.629,0.737,20.602,1
-0.055,-0.425,-0.480,9.949,78.125,19.165,0.643,81.054,1
-0.030,-0.793,-0.158,-11.292,-18.127,30.701,0.809,37.398,1
-0.025,-0.521,-0.581,-21.912,-38.574,-8.362,0.781,45.144,1
-0.003,-0.637,-0.762,10.193,21.545,16.907,0.993,29.222,1
-0.039,-0.311,-1.310,11.597,-18.188,-10.132,1.347,23.832,1
0.009,-0.449,-0.255,14.709,-2.380,19.104,0.516,24.228,1
0.053,-0.942,0.413,-24.292,73.608,-18.127,1.029,79.605,1
-0.066,-0.540,-0.511,-45.593,92.407,33.081,0.746,108.223,1
-0.040,-0.559,-0.907,-14.771,89.355,18.982,1.066,92.536,1
-0.072,-0.705,-0.259,-3.418,55.054,11.963,0.755,56.442,1
-0.032,-0.774,-0.418,10.071,-130.676,-40.710,0.881,137.241,1
-0.255,-0.706,-1.592,-45.166,96.069,47.607,1.760,116.343,1
0.079,-0.205,-0.650,13.855,53.650,-3.906,0.686,55.548,1
0.075,-0.498,-0.334,49.622,-83.862,-47.913,0.604,108.585,1
-0.066,-0.679,-0.073,120.666,-277.039,-57.129,0.686,307.530,1
-0.304,-0.485,-1.623,98.755,-255.188,-72.571,1.721,283.090,1
-0.186,-0.175,-1.682,18.799,59.692,19.836,1.702,65.651,1
0.017,-0.467,-0.791,-79.773,140.137,49.255,0.919,168.606,1
-0.021,-0.540,-0.693,-64.758,66.895,12.207,0.879,93.902,1
0.068,-0.208,-0.976,23.071,-1.343,20.081,1.000,30.616,1
-0.131,-0.130,-1.207,92.285,-139.893,-73.181,1.221,182.871,1
-0.214,-0.230,-1.765,8.057,-45.349,-23.804,1.793,51.847,1
0.018,-0.181,-1.515,-118.713,261.047,114.014,1.525,308.606,1
0.182,-0.720,0.601,-11.780,10.620,-21.240,0.955,26.508,1
0.190,-0.479,-0.379,-8.484,-21.606,7.996,0.640,24.551,1
0.091,-0.624,-0.316,52.734,-136.475,-24.597,0.705,148.362,1
0.047,-0.493,-1.006,43.701,-110.840,-62.256,1.121,134.429,1
0.012,-0.621,-1.040,75.317,-175.232,-49.072,1.211,196.944,1
